record_id,pmid,doi,title
41710527,41710527,10.2147/CCID.S587040,Dermatitis Artefacta in a 38-Year-Old Female with Coexisting Anxiety Disorder: A Diagnostic Challenge and the Importance of Multidisciplinary Management.
41700695,41700695,10.1177/17103568261415607,Burden of Mild-to-Moderate Atopic Dermatitis in Adults in the United States: Results from the National Health and Wellness Survey.
41694695,41694695,10.1016/j.jdin.2025.12.005,Stress in dermatology patients: A multicenter observational study of 8295 outpatients and controls from 22 European clinics.
41682248,41682248,10.3390/healthcare14030398,Psychological Distress and Quality of Life in a Community-Based Sample of Adults with Atopic Dermatitis: A Cross-Sectional Exploratory Study.
41673463,41673463,10.1038/s41380-025-03383-5,Major depressive disorder shares systemic immune signatures and potential therapeutic targets with inflammatory skin diseases.
41649191,41649191,10.1177/17103568251409795,Hand Eczema Is Independently Associated with Significant Quality of Life Impact in Patients with Atopic Dermatitis.
41649188,41649188,10.1177/17103568251410577,Sleep Disturbance as a Partial Mediator Between Atopic Dermatitis and Depression: A Cross-Sectional Study Based on NHANES.
41632208,41632208,10.1007/s12016-025-09127-1,Neuro-immune Crosstalk in Atopic Dermatitis: A Multiaxial Regulatory Network and Novel Therapeutic Perspectives.
41608327,41608327,10.3389/fped.2025.1734662,Association between maternal anxiety/depression in pregnancy and the development of offspring eczema/AD: a meta-analysis based on cohort studies.
41597450,41597450,10.3390/medicina62010164,"Depression, Anxiety and Quality of Life in Patients with Atopic Dermatitis and Psoriasis."
41589332,41589332,10.1111/ijd.70301,The Psychiatric Comorbidities in Adolescents With Atopic Dermatitis: A Real-World Study of Propensity-Matched Cohorts.
41556018,41556018,10.7759/cureus.99598,The Impact of Sleep Dysfunction on Inflammatory Skin Diseases: A Systematic Review.
41555295,41555295,10.1186/s12888-026-07785-9,Atopic dermatitis and psychological disorders in children and adolescents: a systematic review on comorbidities and mechanism.
41554499,41554499,10.1016/j.clnesp.2026.102926,"Diet, inflammatory skin disorders, and mental health: A scoping review of current evidence."
41535531,41535531,10.1007/s13555-025-01640-7,Improvement of Chronic Spontaneous Urticaria After Glucagon-Like Peptide 1 Receptor Agonist Therapy: Report of Two Cases.
41498119,41498119,10.2147/CCID.S562171,The Combination of Mineral Salts and Natural Antioxidants Agents Is Highly Effective in Atopic Dermatitis.
41432938,41432938,10.1001/jamadermatol.2025.5163,Measurement Properties of PROMIS Measures Relevant to Chronic Skin Diseases.
41427090,41427090,10.18502/ijps.v20i4.19691,Environmental Risk Factors of Conduct Disorder: An Overview of Meta-Analyses.
41409702,41409702,10.3389/fpubh.2025.1641763,Impact of the COVID-19 pandemic waves on adults with moderate-to-severe atopic dermatitis in the Dutch general population: a population-based longitudinal cohort study.
41404911,41404911,10.1111/ijd.70112,Epidemiology of Pediatric Atopic Dermatitis in East China and Parental Mental Health Impairment: A Cross-Sectional Questionnaire Study.
41369997,41369997,10.1007/s11033-025-11135-5,"Rap1-Dependent pathways in depression: Genetic, Epigenetic, and neuroinflammatory mechanisms shaping synaptic resilience."
41333466,41333466,10.3389/fimmu.2025.1677275,CHN1 as a potential predictive genetic biomarker for atopic dermatitis-related depression.
41317336,41317336,10.1159/000549860,"Trends in Suicidal Ideation and Sadness among Adolescents by Atopic Dermatitis Status, 2007-2024: A Nationwide Representative Study in South Korea."
41303796,41303796,10.3390/medicina61111959,A Study on Parental Corticophobia in Pediatric Allergic Diseases.
41302335,41302335,10.3390/healthcare13222947,Psychological Interventions for the Treatment of Patients with Chronic Dermatoses: A Systematic Literature Review.
41293645,41293645,10.1002/fsn3.71248,Epigallocatechin-3-Gallate Mitigates Atopic Dermatitis-Like Skin Lesions and Psychiatric Comorbidities by Reducing Oxidative Stress.
41277234,41277234,10.1080/19490976.2025.2574934,Gut microbiota dysbiosis at the interface of neuropsychiatric disorders and their dermatological comorbidities.
41257120,41257120,10.7759/cureus.94869,Treatment-Resistant Eosinophilic Spongiosis Dermatitis in a Patient With Various Comorbidities: A Case Report.
41248771,41248771,10.1016/j.jaad.2025.09.112,Prevalence of sleep disturbance and psychologic comorbidities in college students with common skin diseases: A nationwide cross-sectional study.
41244856,41244856,10.1016/j.jdin.2025.08.013,Impact of sleep disturbance on mental health in schoolchildren with atopic dermatitis: A population-based study.
41239194,41239194,10.1093/bjd/ljaf456,"Efficacy and safety of baricitinib versus azathioprine, both combined with topical corticosteroids, in patients with moderate-to-severe atopic dermatitis: a single-centre randomized open-label trial."
41219577,41219577,10.1007/s40257-025-00993-1,Efficacy and Safety of Dupilumab in Adults with Prurigo Nodularis with or Without Atopic Comorbidities: A Subgroup Analysis from Two Randomized Phase III Clinical Trials.
41211949,41211949,10.2340/actadv.v105.44313,"Chronic Pruritus in Older Adults: Prevalence, Associations, and Pruritus-specific Quality of Life."
41209500,41209500,10.31083/AP47646,Genetic Insights Into Skin Diseases and Depression: Evidence From East Asian Mendelian Randomization Analysis.
41205221,41205221,10.1002/clt2.70115,Sexual Health in Atopic Dermatitis: Impact of Skin Clinical Control.
41204945,41204945,10.1111/pde.70085,The Coping Clinic: An Interdisciplinary Pediatric Psychodermatology Clinic.
41178654,41178654,NA,"Netherton Syndrome: A Case-Based Review of Diagnosis, Management, and Emerging Treatments."
41178170,41178170,10.1111/ajd.14619,"Characteristics, Disease Burden and Healthcare Resource Use of Moderate and Severe Atopic Dermatitis in Australia."
41165003,41165003,10.1080/13548506.2025.2581895,Psychosocial predictors of anxiety and depression in individuals with acne and atopic dermatitis (ad): the role of self-disgust.
41155769,41155769,10.3390/medicina61101782,Sexual Health in Patients with Atopic Dermatitis: A Cross-Sectional Study.
41153486,41153486,10.3390/children12101304,"Is There a Relationship Between Serum BDNF Levels, Disease Severity, and Psychiatric Symptoms in Adolescents with Atopic Dermatitis?"
41144726,41144726,10.1111/jdv.70138,"Suicidal ideation in patients with atopic dermatitis: A case-control study on 23,191 adults."
41117237,41117237,10.62641/aep.v53i5.1989,Associations of Anxiety and Depression With Skin Symptoms and Inflammatory Cytokines in Patients With Atopic Dermatitis.
41112597,41112597,10.5498/wjp.v15.i10.106312,Continuous treatment strategies improve psychological status and quality of life in patients with atopic dermatitis.
41102874,41102874,10.1111/ddg.15892,"Shame-related disorders in patients with atopic dermatitis and psoriasis - An exploratory, cross-sectional interview study on the prevalence and correlates of body dysmorphic disorder and social anxiety disorder."
41081535,41081535,10.1111/jdv.70080,Safety and efficacy of nemolizumab for atopic dermatitis up to 2 years in open-label extension study.
41071522,41071522,10.1007/s13555-025-01550-8,"Effectiveness, Safety, and Health-Related Quality of Life in Moderate-to-Severe Atopic Dermatitis Treated with Lebrikizumab: A 16-Week Nationwide Retrospective Cohort Study."
41064313,41064313,10.1159/000547731,Acute Mood Episodes in Patients of Atopic Dermatitis Treated with Dupilumab: Insights from two Cases.
41061988,41061988,10.1016/j.jaad.2025.10.019,Examining the impact of child atopic dermatitis on maternal depression: A longitudinal cohort study.
41035840,41035840,10.1093/skinhd/vzaf056,Topical corticosteroid phobia among caregivers: a study in atopic and nonatopic dermatitis children by using the TOPICOP score.
41031391,41031391,10.3389/falgy.2025.1658186,Efficacy and safety of a 4-step versus a 5-step egg ladder in children with IgE-mediated hen's egg protein allergy: protocol for an open-label randomized controlled trial.
41003710,41003710,10.1007/s00105-025-05583-0,"[Digital health applications in psychotherapeutic care in dermatology?-Overview of offers, opportunities, and challenges]."
41002740,41002740,10.3390/diseases13090305,Polymorphism of Melanocortin Receptor Genes-Association with Inflammatory Traits and Diseases.
40985295,40985295,10.1093/bjd/ljaf285,"Efficacy and safety of lebrikizumab in adult and adolescent patients with moderate-to-severe atopic dermatitis inadequately controlled with or ineligible for ciclosporin A: a placebo-controlled, randomized phase IIIb clinical study (ADvantage)."
40952647,40952647,10.1007/s13555-025-01539-3,Comparative Analysis of Patient-Reported Outcomes in Chronic Pruritus: Patients with Chronic Liver or Kidney Diseases Exhibit Higher Psychological Distress than Those with Atopic Dermatitis.
40948796,40948796,10.3389/fimmu.2025.1516407,Comorbidities in primary cicatricial alopecia: a systematic review and meta-analysis.
40892481,40892481,10.1093/bjd/ljaf347,"Rademikibart monotherapy for moderate-to-severe atopic dermatitis in a 1-year, randomized phase II trial (SEASIDE CHINA): initial 2-week dosing, followed by 2-week or 4-week dosing."
40866685,40866685,10.1038/d41586-025-02646-z,Explaining the mental-health burden of atopic dermatitis.
40855389,40855389,10.1007/s40257-025-00979-z,Lichen Simplex Chronicus: Clinical Perspectives and Emerging Therapeutic Strategies.
40838183,40838183,10.1016/j.pmedr.2025.103202,Prevalence and health outcomes of combustible cigarettes and noncombustible nicotine or tobacco products: a nationwide cross-sectional study in South Korea.
40824159,40824159,10.2340/actadv.v105.43367,"Global, Regional, and National Burden of Alopecia Areata and its Associated Comorbidities, 1990-2021, and Projections to 2050: An Analysis of the Global Burden of Disease Study 2021."
40734875,40734875,10.7759/cureus.86989,Eczematous Neurodermatitis Following Total Knee Arthroplasty: Expanding Awareness of a Rare and Underdiagnosed Postoperative Dermatologic Complication.
40713851,40713851,10.1186/s40246-025-00801-1,A genome-wide pleiotropy study between atopic dermatitis and neuropsychiatric disorders.
40677472,40677472,10.7759/cureus.86171,"Stigma, Bullying, and Resilience: Psychosocial Outcomes in Marginalized Adolescents With Visible Dermatologic Conditions."
40665436,40665436,10.1093/bjd/ljaf213,"Prurigo nodularis: disease burden, clinical features and approach to management."
40664887,40664887,10.1007/s00431-025-06316-0,Mental health risks in children with food allergies: a population-based comparison of food allergies with other chronic conditions.
40657707,40657707,10.1093/nutrit/nuaf079,"Clinical Benefits and Safety of Multiple Micronutrient Supplementation During Preconception, Pregnancy, and Lactation: A Review."
40590419,40590419,10.2340/actadv.v105.43071,Impact of Long-term Stability on Mental Health in Adults with Atopic Dermatitis: A Cohort Study with Unsupervised Cluster Analysis.
40574763,40574763,10.5498/wjp.v15.i6.104738,Risk factors for anxiety and depression in patients with atopic dermatitis and their impact on prognosis.
40556751,40556751,10.3389/fphar.2025.1587977,Effects of dupilumab on quality of life in patients with atopic dermatitis: a systematic review and meta-analysis of randomized controlled trials.
40552522,40552522,10.1177/12034754251347569,Epidemiology and Comorbidities of Psychodermatologic Conditions.
40540000,40540000,10.1007/s00406-025-02051-7,Assessment of the bidirectional causal association between allergic diseases and neuropsychiatric disorders.
40504877,40504877,10.1093/ced/llaf259,Atopic dermatitis and obsessive-compulsive disorder: a systematic review.
40470311,40470311,10.1177/23743735251346633,The Diverse Experiences and Challenges of Individuals With Alopecia Areata: Survey Results From Finland.
40465505,40465505,10.36849/JDD.8967,Practical Algorithm on Topical Treatment of Flaring Atopic Dermatitis (AD) With or Without Secondary Infection.
40456485,40456485,10.1016/j.anai.2025.05.026,Mediation of pediatric atopic dermatitis in emotional and behavioral outcomes by sleep disturbance.
40452214,40452214,10.1111/cod.14819,Emotional Burden of Patients With Work-Related Hand Eczema: Results of an Exploratory Study in a Tertiary Individual Prevention Setting in Germany.
40452120,40452120,10.1111/ijd.17878,"Clinical Characteristics, Diagnostic Approaches, Therapeutic Management, and Associated Comorbidities of Prurigo Nodularis (Chronic Nodular Prurigo): An Observational Study in Clinical Practice in Spain."
40446914,40446914,10.1016/j.ad.2025.05.008,"[Translated article] Impact of Dupilumab on Quality of Life, Anxiety, and Depression in Adult Patients With Moderate-to-Severe Atopic Dermatitis and Their Household Members: A Prospective Study."
40404961,40404961,10.1007/s12519-025-00911-9,Antenatal depressive and anxiety symptoms in early pregnancy and offspring allergic diseases during toddlerhood.
40402841,40402841,10.1089/derm.2025.0082,Not All Itch Is Created Equal in Atopic Dermatitis: A Prospective Observational Study of the Heterogeneous Characteristics of Itch.
40395584,40395584,10.4103/idoj.idoj_458_24,Psychological Morbidity in Chronic Dermatological Disorders: A Review.
40392326,40392326,10.1007/s00403-025-04269-w,A comprehensive bibliometric analysis of the association between atopic dermatitis and depression (1994-2024).
40390259,40390259,10.2340/actadv.v105.42794,Determinants of Quality of Life in Patients with Atopic Dermatitis and Psoriasis: A Multivariate Approach.
40375535,40375535,10.2340/actadv.v105.43133,Bidirectional Relationship Between Atopic Dermatitis and Psychiatric Comorbidities in Individuals of European Ancestry: A Mendelian Randomization Study.
40338260,40338260,10.4088/JCP.24m15590,Increased Risk of Suicide Attempt in Patients With Atopic Dermatitis: A Nationwide Population-Based Cohort Study.
40334916,40334916,10.1016/j.jaad.2025.04.054,"Response to Lai and Wei's ""Comment on Kaltchenko et al.'s Dupilumab and neuropsychiatric outcomes in pediatric atopic dermatitis: A real-world cohort analysis""."
40285916,40285916,10.1007/s13555-025-01414-1,Multidimensional Burden of Moderate-to-Severe Atopic Dermatitis in Adolescent and Adult Patients from Portugal and Greece: Results from the Global Cross-Sectional Study MEASURE-AD.
40283018,40283018,10.3390/medicina61040727,"The Effect of Environmental Factors, Health Behaviors, and Psychosocial Aspects on Allergic Diseases in Korean Adolescents."
40278530,40278530,10.3390/pediatric17020050,"Mental Health, Psychological Features and Psychiatric Comorbidity of Adolescents with Atopic Dermatitis: A Review."
40269504,40269504,10.1093/jat/bkaf030,Hydroxyzine in impaired driving investigations.
40261548,40261548,10.1007/s13555-025-01375-5,The Association Between Atopic Dermatitis and Select Disease Events in Adults in the United States: A Retrospective Cohort Study in the Optum Electronic Health Records Database.
40259009,40259009,10.1038/s41598-025-98353-w,Facets of shame and their impact on quality of life in patients with atopic dermatitis and psoriasis.
40255946,40255946,10.22038/AJP.2024.23711,Experimental and clinical studies on pharmacological actions of the genus Achillea: A comprehensive and updated review.
40254467,40254467,10.1111/pde.15940,"Patient-Reported Impact of Atopic Dermatitis on Pediatric and Adolescent Patients With Moderate-To-Severe Disease: Results of a Real-World, Cross-Sectional Survey."
40228856,40228856,10.1136/bmjopen-2024-098314,Effectiveness and safety of the four-step versus six-step milk ladder in children with IgE-mediated cow's milk protein allergy: protocol for an open-label randomised controlled trial.
40225313,40225313,10.2147/CCID.S515200,Comparative Analysis of the Efficacy of Abrocitinib and Dupilumab in the Treatment of Atopic Dermatitis.
40202414,40202414,10.4081/dr.2025.10164,The humanistic burden of atopic dermatitis in Greece: a cross-sectional study.
40191107,40191107,10.3389/fpsyt.2025.1467876,Association between catheter ablation and psychiatric disorder risk in adults with atrial fibrillation: a multi-institutional retrospective cohort study.
40180127,40180127,10.1016/j.jaad.2025.03.081,"Response to Li et al's ""Comments on 'Dupilumab and neuropsychiatric outcomes in pediatric atopic dermatitis: A real-world cohort analysis'""."
40161158,40161158,10.7759/cureus.79762,Assessing the Clinical Efficacy of Dupilumab and Its Impact on the Quality of Life of Adult Atopic Dermatitis Patients: A Systematic Review.
40146608,40146608,10.1037/hea0001487,Bidirectional two-sample mendelian randomization analysis identifies a causal relationship between major depressive disorder and allergic diseases.
40139563,40139563,10.1016/j.jid.2025.03.007,Association between Emotional Distress and Atopic Dermatitis: A Cross-Sectional Study.
40119613,40119613,10.1111/ijd.17707,Type 2 Inflammation and Its Role in Dermatologic Diseases.
40117438,40117438,10.1016/j.anai.2025.02.017,Depression and anxiety in patients with atopic dermatitis: Recognizing and addressing mental health burden.
40096983,40096983,10.15537/smj.2025.46.3.20240506,Validity and reliability of the Arabic version of topical corticosteroid phobia (TOPICOP©) questionnaire.
40095276,40095276,10.1111/exd.70083,Altered Sensory and Stress Responses in Atopic Dermatitis: Effects of Acute Stress on Lesional and Non-Lesional Skin.
40077979,40077979,10.2340/actadv.v105.42773,Patient Needs and Treatment Goals in Chronic Atopic Pruritus: Does Eczema Make a Difference?
40028723,40028723,10.1080/19490976.2025.2474256,Extracellular vesicles of Limosilactobacillus fermentum SLAM216 ameliorate skin symptoms of atopic dermatitis by regulating gut microbiome on serotonin metabolism.
40015569,40015569,10.1016/j.jaad.2025.02.048,This Month in JAAD Reviews: May 2025-Suicide and Dermatology.
40013610,40013610,10.1111/jocd.70076,Global Burden of Alopecia Areata and Associated Diseases: A Trend Analysis From 1990 to 2021.
39957466,39957466,10.1093/ced/llaf074,Adjustment to atopic dermatitis: a cross-sectional study investigating the role of maladaptive self-schemas in a community sample of people with atopic dermatitis.
39953304,39953304,10.1007/s00403-025-03907-7,Identification of novel biomarkers associated with immune infiltration in major depression disorder and atopic dermatitis.
39922285,39922285,10.1016/j.jaad.2025.02.001,Risk of developing sleep disorders and psychologic comorbidity in children with inflammatory skin diseases-A population-based study.
39860475,39860475,10.3390/jcm14020469,"Examining the Prevalence, Characteristics, and Potential Links Between Skin Disorders and Autism Spectrum Disorder (ASD)."
39841259,39841259,10.1007/s00105-024-05456-y,[Psychological aspects in occupational dermatology].
39834711,39834711,10.1016/j.jdin.2024.11.006,Evaluating the psychosocial burden and unmet needs for health care access among older adults with inflammatory skin disease.
39832678,39832678,10.1016/j.jaad.2025.01.027,Dupilumab and neuropsychiatric outcomes in pediatric atopic dermatitis: A real-world cohort analysis.
39831416,39831416,10.1111/1346-8138.17627,Clinical patterns of vitiligo in Japan: A descriptive study using the JMDC claims database.
39830826,39830826,10.5070/D329260765,Recalcitrant Pediatric Facial Vitiligo Successfully Treated with Roflumilast Cream 0.3% Once Daily.
39812844,39812844,10.1007/s00403-024-03775-7,Evaluating duloxetine for pruritus and psychiatric comorbidities in lichen simplex chronicus.
39810426,39810426,10.2340/actadv.v105.42127,"Associations of Atopic Dermatitis in Late Adolescence with Occupation, Mental Health, Income from Work and Marital Status: A National Longitudinal Study."
39788997,39788997,10.1038/s41598-024-84794-2,Determinants of perceived patient benefit in a longitudinal cohort study of patients with psoriasis and atopic dermatitis.
39775058,39775058,10.1007/s00403-024-03719-1,Investigating the impact of perceived social stigmatization and social appearance anxiety on quality of life among patients with facial skin diseases.
39773797,39773797,10.1136/bmjopen-2024-087946,Cohort profile: creation of the SAIL MELD-B e-cohort (SMC) and SAIL MELD-B children and young adult e-cohort (SMYC) to investigate the lived experience of the 'burdensomeness' of multimorbidity.
39761965,39761965,10.1080/09546634.2024.2442720,Lebrikizumab is associated with improvements in patient-reported symptoms and quality-of-life measures across Eczema Area and Severity Index response categories: pooled results from phase-3 randomized ADvocate1 and ADvocate2 studies in patients with moderate-to-severe atopic dermatitis.
39756617,39756617,10.1016/j.jaad.2024.12.032,Stigma underlies the mental health burden of pediatric atopic dermatitis: A cohort study.
39749386,39749386,10.2340/actadv.v105.40187,Topical Steroid Withdrawal in Atopic Dermatitis: Patient-reported Characterization from a Swedish Social Media Questionnaire.
39711289,39711289,10.1111/ddg.15541,Update vulval dermatology - diagnostics and therapy.
39657688,39657688,10.1093/postmj/qgae173,The causal relationship between negative emotions and inflammatory dermatoses: a bidirectional Mendelian randomization study.
39629600,39629600,10.1111/ijd.17559,Advances of the exposome at individual levels and prevention in atopic dermatitis.
39625401,39625401,10.1097/LGT.0000000000000854,Effect of Corticosteroid Phobia on Treatment Adherence and Outcome in Women With Lichen Sclerosus: A Prospective Study.
39623152,39623152,10.1007/s40257-024-00905-9,Role of Inflammation and Cytokine Dysregulation in Depression in Patients with Inflammatory Skin Conditions.
39613228,39613228,10.1016/j.anai.2024.11.016,Dupilumab impact on psychiatric and sleep disorder risk reduction in atopic dermatitis: A population-based cohort study.
39598368,39598368,10.3390/ph17111455,"Atopic Dermatitis-Related Problems in Daily Life, Goals of Therapy and Deciding Factors for Systemic Therapy: A Review."
39586275,39586275,10.1159/000542771,Using Smartphone Data to Frequently Measure Atopic Dermatitis Severity and Understand Triggers: A Decentralized 12-Week Observational Study.
39579375,39579375,10.1093/ced/llae514,Incidence and prevalence of prurigo nodularis and associated comorbidities in Denmark from 1998 to 2021.
39539002,39539002,10.2340/actadv.v104.40790,"Psychiatric Comorbidities of Childhood-onset Atopic Dermatitis in Relation to Eczema Severity: A Register-based Study among 28,000 Subjects in Finland."
39521284,39521284,10.1016/j.jaci.2024.10.030,Association between allergic diseases and mental health conditions: An umbrella review.
39521068,39521068,10.1016/j.jad.2024.11.018,"Risk of postpartum depression in women with allergic disorders: A nationwide cohort study involving 1,017,507 women."
39518471,39518471,10.3390/jcm13216327,"Unveiling the Impact of Moderate and Severe Atopic Dermatitis: Insights on Burden, Clinical Characteristics, and Healthcare Resource Utilization in Adult Greek Patients from the APOLO Cross-Sectional Study."
39496255,39496255,10.1159/000542421,Management Strategies and Corticophobia among Healthcare Professionals Involved in the Care for Atopic Dermatitis: A Dutch Survey.
39442013,39442013,10.1093/bjd/ljae394,Long-term management of moderate-to-severe atopic dermatitis with lebrikizumab and concomitant topical corticosteroids: a 68-week randomized double-blind placebo-controlled phase III trial in Japan (ADhere-J).
39425681,39425681,10.1093/ced/llae451,Bipolar disorder among individuals with atopic dermatitis: a case-control study in the All of Us Research Program.
39424320,39424320,10.1055/a-2194-6914,[Medical clinical diagnostics for indoor mould exposure - Update 2023 (AWMF Register No. 161/001)].
39408916,39408916,10.3390/ijms251910583,Comparative Analysis of the Cutaneous Microbiome in Psoriasis Patients and Healthy Individuals-Insights into Microbial Dysbiosis: Final Results.
39355742,39355742,10.1002/ski2.419,Psychodermatology in Hungary: Awareness and practice patterns of dermatologists.
39340696,39340696,10.1007/s13555-024-01278-x,Advanced Systemic Treatments in Patients with Moderate-to-Severe Atopic Dermatitis: Key Learnings from Physicians Practicing in Nine Asian Countries and Territories.
39338582,39338582,10.3390/microorganisms12091908,Microbial Dysbiosis in the Skin Microbiome and Its Psychological Consequences.
39336855,39336855,10.3390/jcm13185368,Integrative Treatment Approaches with Mind-Body Therapies in the Management of Atopic Dermatitis.
39325771,39325771,10.1371/journal.pone.0308031,Prevalence and proportion by age and sex of chronic health conditions in a large healthcare system.
39287078,39287078,10.1111/jpc.16668,"Risk of depression in patients with atopic dermatitis: An updated systematic review and meta-analysis of children, adolescent and adult groups."
39176287,39176287,10.1016/j.waojou.2024.100941,Profiling severe asthma: Any relevance for age? An analysis from Severe Asthma Network Italy (SANI) cohort.
39166365,39166365,10.1111/all.16265,Evaluation of dupilumab on the disease burden in children and adolescents with atopic dermatitis: A population-based cohort study.
39103673,39103673,10.1007/s13555-024-01244-7,Quality of Life and Burden of Moderate-to-Severe Atopic Dermatitis in Adult Patients Within the Asia-Pacific Region: A Cross-sectional Survey.
39080094,39080094,10.1007/s00403-024-03210-x,Attentiveness and mental health in adolescents with moderate-to-severe atopic dermatitis without ADHD.
39077283,39077283,10.7759/cureus.63376,"Investigation of the Impact of Atopic Dermatitis (AD) on Stress, Depression, Anxiety, and Suicidal Ideation: A Systematic Review and Meta-Analysis."
39003821,39003821,10.1016/j.ajp.2024.104135,Comorbid health conditions in people with attention-deficit/hyperactivity disorders: An umbrella review of systematic reviews and meta-analyses.
38941228,38941228,10.31053/1853.0605.v81.n2.42369,"[Spanish translation, cross-cultural adaptation and validation of the ADTC scale (Atopic Dermatitis Control Tool)]."
38929585,38929585,10.3390/medicina60060968,Linguistic Validation and Reliability of the Croatian Version of the TOPICOP Questionnaire.
38924726,38924726,10.1093/bjd/ljae250,Utilization and related harms of systemic glucocorticosteroids for atopic dermatitis: claims data analysis.
38922484,38922484,10.1007/s13555-024-01199-9,Lebrikizumab Improves Quality of Life and Patient-Reported Symptoms of Anxiety and Depression in Patients with Moderate-to-Severe Atopic Dermatitis.
38892934,38892934,10.3390/jcm13113224,Depressive Disorder and Dermatological Autoimmune Diseases.
38864389,38864389,10.1080/00325481.2024.2366162,Exploring the interplay of atopic dermatitis severity with sleep and mental health: a case-control study in adult patients.
38860625,38860625,10.2340/actadv.v104.35107,The Impact of Atopic Dermatitis on Sexual Function and Reproductive Desires in Women.
38851487,38851487,10.1016/j.jaip.2024.05.049,Allergic Diseases and Mental Health.
38850521,38850521,10.1080/02770903.2024.2366525,Effects of changes in daily life attributed to COVID-19 on allergic diseases among Korean adolescents.
38822990,38822990,10.1007/s10935-024-00784-0,"Global Prevalence of Anxiety, Depression, and Stress Among Patients with Skin Diseases: A Systematic Review and Meta-analysis."
38811655,38811655,10.1038/s41598-024-62475-4,National prevalence of atopic dermatitis in Korean adolescents from 2009 to 2022.
38802636,38802636,10.1007/s12325-024-02875-0,Epidemiology and Treatment Patterns of Patients with Vitiligo: A Real-World Analysis.
38787431,38787431,10.1007/s00403-024-03017-w,Neuroticism and inflammatory skin diseases: a bidirectional Mendelian randomization study.
